piside: 515, score: 707.7656486172405, avg score: 620.7767512689095, best_score: 623.7224165011878
episide: 588, score: 597.9305952533633, avg score: 614.0263142011224, best_score: 650.8302795012576
episide: 589, score: 658.9531837081954, avg score: 614.2522388359918, best_score: 650.8302795012576
episide: 590, score: 595.1771143171575, avg score: 615.427718498637, best_score: 650.8302795012576
episide: 591, score: 651.9569579706967, avg score: 614.9166137103084, best_score: 650.8302795012576
episide: 592, score: 597.7736815506815, avg score: 614.3012056936354, best_score: 650.8302795012576
episide: 593, score: 500.3108854444539, avg score: 612.0447873490531, best_score: 650.8302795012576
episide: 594, score: 561.3029897561261, avg score: 609.2612111567231, best_score: 650.8302795012576
episide: 595, score: 608.3407649437432, avg score: 609.499565282188, best_score: 650.8302795012576
episide: 596, score: 614.8521196926883, avg score: 607.2685407574911, best_score: 650.8302795012576
episide: 597, score: 507.94215788443313, avg score: 605.1804762271263, best_score: 650.8302795012576
episide: 598, score: 589.0649018992914, avg score: 605.6840331156388, best_score: 650.8302795012576
episide: 599, score: 661.4445897480557, avg score: 605.4411395051613, best_score: 650.8302795012576
episide: 600, score: 656.4332381908329, avg score: 606.0086403678855, best_score: 650.8302795012576
episide: 601, score: 398.1258613341543, avg score: 600.4254647252169, best_score: 650.8302795012576
episide: 602, score: 588.2764281438939, avg score: 599.0896605864523, best_score: 650.8302795012576
episide: 603, score: 588.20441713122, avg score: 598.7531486358343, best_score: 650.8302795012576
episide: 604, score: 583.7740720504266, avg score: 596.453886451475, best_score: 650.8302795012576
episide: 605, score: 553.3294739856275, avg score: 592.8692866191797, best_score: 650.8302795012576
episide: 606, score: 553.9214272054968, avg score: 594.1410955342544, best_score: 650.8302795012576
episide: 607, score: 437.53983092936346, avg score: 590.5393208421605, best_score: 650.8302795012576
episide: 608, score: 446.70080431144135, avg score: 585.2448071054365, best_score: 650.8302795012576
episide: 609, score: 551.8532687011696, avg score: 583.3072772788732, best_score: 650.8302795012576
episide: 610, score: 606.5932230171261, avg score: 581.9585959597252, best_score: 650.8302795012576
episide: 611, score: 505.82945885968763, avg score: 578.8443705085988, best_score: 650.8302795012576
episide: 612, score: 617.2926144481247, avg score: 575.5558488301385, best_score: 650.8302795012576
episide: 613, score: 527.5980860076238, avg score: 571.8401341921377, best_score: 650.8302795012576
episide: 614, score: 636.0752925707413, avg score: 570.7291470016069, best_score: 650.8302795012576
episide: 615, score: 561.1843026365482, avg score: 567.549419349885, best_score: 650.8302795012576
episide: 616, score: 600.4221383332911, avg score: 566.8300357117266, best_score: 650.8302795012576
episide: 617, score: 623.872394150721, avg score: 566.0225934027974, best_score: 650.8302795012576
episide: 618, score: 637.9456631748778, avg score: 565.3865751617045, best_score: 650.8302795012576
episide: 619, score: 802.031678288791, avg score: 571.4333914220614, best_score: 650.8302795012576
episide: 620, score: 677.6528477561916, avg score: 573.74553254178, best_score: 650.8302795012576
episide: 621, score: 564.6969934801199, avg score: 573.581737017931, best_score: 650.8302795012576
episide: 622, score: 606.4184410654573, avg score: 575.5559094757103, best_score: 650.8302795012576
episide: 623, score: 652.490860606646, avg score: 574.9526512729349, best_score: 650.8302795012576
episide: 624, score: 575.9670914334986, avg score: 574.5780315986163, best_score: 650.8302795012576
episide: 625, score: 590.9514687221638, avg score: 574.0412025746073, best_score: 650.8302795012576
episide: 626, score: 613.9869206841192, avg score: 573.8137011157207, best_score: 650.8302795012576
episide: 627, score: 712.2040919077245, avg score: 574.5606594654607, best_score: 650.8302795012576
episide: 628, score: 602.4066716638373, avg score: 574.7551925439391, best_score: 650.8302795012576
episide: 629, score: 649.3603173061997, avg score: 577.3333636232982, best_score: 650.8302795012576
episide: 630, score: 644.4643626321424, avg score: 577.3322955767675, best_score: 650.8302795012576
episide: 631, score: 654.2987415154245, avg score: 581.0535111029862, best_score: 650.8302795012576
episide: 632, score: 566.4233538373793, avg score: 584.8004580117815, best_score: 650.8302795012576
episide: 633, score: 562.7216978753617, avg score: 588.104134790407, best_score: 650.8302795012576
episide: 634, score: 530.3226997966834, avg score: 587.8099690386997, best_score: 650.8302795012576
episide: 635, score: 618.5544016961709, avg score: 588.599277005988, best_score: 650.8302795012576
episide: 636, score: 579.8490358235164, avg score: 590.1890408541113, best_score: 650.8302795012576
episide: 637, score: 556.1747584442202, avg score: 591.6199674377381, best_score: 650.8302795012576
episide: 638, score: 574.9320341952044, avg score: 591.1599962165748, best_score: 650.8302795012576
episide: 639, score: 765.6623152253758, avg score: 593.2941788469184, best_score: 650.8302795012576
episide: 640, score: 627.4636467108862, avg score: 593.9399094947929, best_score: 650.8302795012576
episide: 641, score: 465.84524183767724, avg score: 590.2176751721325, best_score: 650.8302795012576
episide: 642, score: 583.033575316571, avg score: 589.9228730474504, best_score: 650.8302795012576
episide: 643, score: 568.2828685514407, avg score: 591.2823127095902, best_score: 650.8302795012576
episide: 644, score: 586.020317011138, avg score: 591.7766592546903, best_score: 650.8302795012576
episide: 645, score: 526.7183799151178, avg score: 590.1442115541179, best_score: 650.8302795012576
episide: 646, score: 480.32633108839326, avg score: 587.4536957820319, best_score: 650.8302795012576
episide: 647, score: 366.3004702455368, avg score: 584.6208620292541, best_score: 650.8302795012576
episide: 648, score: 648.735500519714, avg score: 585.8142740016625, best_score: 650.8302795012576
episide: 649, score: 671.8363215169002, avg score: 586.0221086370394, best_score: 650.8302795012576
episide: 650, score: 529.2643612617537, avg score: 583.4787310984578, best_score: 650.8302795012576
episide: 651, score: 618.6399790356388, avg score: 587.8890134524876, best_score: 650.8302795012576
episide: 652, score: 655.6669547571107, avg score: 589.2368239847518, best_score: 650.8302795012576
episide: 653, score: 576.5456548635514, avg score: 589.0036487393985, best_score: 650.8302795012576
episide: 654, score: 451.2130674019312, avg score: 586.3524286464286, best_score: 650.8302795012576
episide: 655, score: 494.40333225864174, avg score: 585.1739058118889, best_score: 650.8302795012576
episide: 656, score: 617.1585194777724, avg score: 586.4386476573344, best_score: 650.8302795012576
episide: 657, score: 470.2438246226877, avg score: 587.0927275312009, best_score: 650.8302795012576
episide: 658, score: 628.241917621569, avg score: 590.7235497974034, best_score: 650.8302795012576
episide: 659, score: 625.8016455601899, avg score: 592.2025173345838, best_score: 650.8302795012576
episide: 660, score: 533.3331673903514, avg score: 590.7373162220484, best_score: 650.8302795012576
episide: 661, score: 385.64483408023455, avg score: 588.3336237264592, best_score: 650.8302795012576
episide: 662, score: 629.6500563675397, avg score: 588.5807725648476, best_score: 650.8302795012576
episide: 663, score: 495.682336296864, avg score: 587.9424575706324, best_score: 650.8302795012576
episide: 664, score: 672.042720670775, avg score: 588.661806132633, best_score: 650.8302795012576
episide: 665, score: 636.6884431457081, avg score: 590.1718889428162, best_score: 650.8302795012576
episide: 666, score: 637.5508966817849, avg score: 590.9144641097861, best_score: 650.8302795012576
episide: 667, score: 661.8271549505204, avg score: 591.6735593257821, best_score: 650.8302795012576
episide: 668, score: 675.2769309371268, avg score: 592.420184681027, best_score: 650.8302795012576
episide: 669, score: 708.4390295052534, avg score: 590.5483317053563, best_score: 650.8302795012576
episide: 670, score: 713.6642109882155, avg score: 591.2685589699969, best_score: 650.8302795012576
episide: 671, score: 645.9828661643462, avg score: 592.8942764236814, best_score: 650.8302795012576
episide: 672, score: 702.9814171749175, avg score: 594.8255359458706, best_score: 650.8302795012576
episide: 673, score: 570.3866314722062, avg score: 593.1834513631817, best_score: 650.8302795012576
episide: 674, score: 528.6606776668499, avg score: 592.2373230878488, best_score: 650.8302795012576
episide: 675, score: 655.5691912906341, avg score: 593.5296775392181, best_score: 650.8302795012576
episide: 676, score: 755.273816842831, avg score: 596.3554154623923, best_score: 650.8302795012576
episide: 677, score: 710.6370601239386, avg score: 596.3240748267167, best_score: 650.8302795012576
episide: 678, score: 602.2797501304408, avg score: 596.3215363960488, best_score: 650.8302795012576
episide: 679, score: 483.6840737489883, avg score: 593.0080115249045, best_score: 650.8302795012576
episide: 680, score: 541.6531417262152, avg score: 590.951787106786, best_score: 650.8302795012576
episide: 681, score: 528.7949224341281, avg score: 588.4417107251601, best_score: 650.8302795012576
episide: 682, score: 603.1617416155642, avg score: 589.1764784807237, best_score: 650.8302795012576
episide: 683, score: 549.2278925368507, avg score: 588.9066023739535, best_score: 650.8302795012576
episide: 684, score: 578.4053873003154, avg score: 589.8682561240262, best_score: 650.8302795012576
episide: 685, score: 477.01396424730547, avg score: 587.0374473750488, best_score: 650.8302795012576
episide: 686, score: 476.28541596417386, avg score: 584.9661749778621, best_score: 650.8302795012576
episide: 687, score: 342.37318144948745, avg score: 580.6901434379673, best_score: 650.8302795012576
episide: 688, score: 480.6670547336875, avg score: 578.804843848737, best_score: 650.8302795012576
episide: 689, score: 599.1441503245903, avg score: 575.4744805507213, best_score: 650.8302795012576
episide: 690, score: 672.0903506471383, avg score: 576.3670146294464, best_score: 650.8302795012576
episide: 691, score: 644.3540746952582, avg score: 579.9371912865979, best_score: 650.8302795012576
episide: 692, score: 604.2690878903571, avg score: 580.3619015380737, best_score: 650.8302795012576
episide: 693, score: 507.3251956815799, avg score: 579.1427480806765, best_score: 650.8302795012576
episide: 694, score: 423.16537873620604, avg score: 575.8856493151778, best_score: 650.8302795012576
episide: 695, score: 602.1178189419767, avg score: 577.393638095715, best_score: 650.8302795012576
episide: 696, score: 349.3830204024383, avg score: 574.774771881996, best_score: 650.8302795012576
episide: 697, score: 547.2475119951118, avg score: 578.3937127169875, best_score: 650.8302795012576
episide: 698, score: 508.6995672911177, avg score: 575.5929940524155, best_score: 650.8302795012576
episide: 699, score: 620.3664934388182, avg score: 574.5635974908539, best_score: 650.8302795012576
episide: 700, score: 333.4569391418242, avg score: 570.6474490484552, best_score: 650.8302795012576
episide: 701, score: 599.5315902574143, avg score: 570.2652812728908, best_score: 650.8302795012576
episide: 702, score: 556.0485528325717, avg score: 568.2729132344, best_score: 650.8302795012576
episide: 703, score: 639.4384022063791, avg score: 569.5307681812565, best_score: 650.8302795012576
episide: 704, score: 696.5639695396228, avg score: 574.4377862240104, best_score: 650.8302795012576
episide: 705, score: 687.5661032191583, avg score: 578.3010416432209, best_score: 650.8302795012576
episide: 706, score: 639.930780784637, avg score: 578.756486869358, best_score: 650.8302795012576
episide: 707, score: 614.2013640113184, avg score: 581.6356376571307, best_score: 650.8302795012576
episide: 708, score: 595.144311192677, avg score: 580.9736855285528, best_score: 650.8302795012576
episide: 709, score: 706.5255819012287, avg score: 582.5881642553736, best_score: 650.8302795012576
episide: 710, score: 742.7816442577566, avg score: 586.7771337927217, best_score: 650.8302795012576
episide: 711, score: 562.1733742544876, avg score: 590.3077045962068, best_score: 650.8302795012576
episide: 712, score: 640.7493247741538, avg score: 590.529689964339, best_score: 650.8302795012576
episide: 713, score: 717.0986621687002, avg score: 594.9580164817758, best_score: 650.8302795012576
