episide: 9502, score: 823.7071117961171, avg score: 787.2866783793611, best_score: 810.4845875586952
episide: 9503, score: 842.569880674928, avg score: 787.6014659001894, best_score: 810.4845875586952
episide: 9504, score: 841.1493509915449, avg score: 787.6360100476192, best_score: 810.4845875586952
episide: 9505, score: 838.8015980053558, avg score: 788.9359069612807, best_score: 810.4845875586952
episide: 9506, score: 716.566165040702, avg score: 787.8538270931335, best_score: 810.4845875586952
episide: 9507, score: 812.2216588120667, avg score: 789.3507016100037, best_score: 810.4845875586952
episide: 9508, score: 862.5250023563514, avg score: 791.4722937135733, best_score: 810.4845875586952
episide: 9509, score: 867.7665252161095, avg score: 793.3505711478817, best_score: 810.4845875586952
episide: 9510, score: 794.2777281953993, avg score: 793.8361334045724, best_score: 810.4845875586952
episide: 9511, score: 845.7263104854882, avg score: 795.7194114179158, best_score: 810.4845875586952
episide: 9512, score: 786.509222722582, avg score: 796.8331121523651, best_score: 810.4845875586952
episide: 9513, score: 757.0149007990384, avg score: 795.7385378455538, best_score: 810.4845875586952
episide: 9514, score: 823.7379704452516, avg score: 797.0694234875866, best_score: 810.4845875586952
episide: 9515, score: 714.2604159233108, avg score: 799.4361776009522, best_score: 810.4845875586952
episide: 9516, score: 722.2429147030157, avg score: 801.6243881661209, best_score: 810.4845875586952
episide: 9517, score: 819.6872295107293, avg score: 803.6514783151055, best_score: 810.4845875586952
episide: 9518, score: 839.6875975649248, avg score: 803.8818240496155, best_score: 810.4845875586952
episide: 9519, score: 853.8364822161731, avg score: 804.7158798038512, best_score: 810.4845875586952
episide: 9520, score: 794.81576157089, avg score: 804.398306883002, best_score: 810.4845875586952
episide: 9521, score: 756.3135396337897, avg score: 803.2961961229853, best_score: 810.4845875586952
episide: 9522, score: 802.7149825268505, avg score: 802.7577862436498, best_score: 810.4845875586952
episide: 9523, score: 772.1720139338983, avg score: 801.6538489019633, best_score: 810.4845875586952
episide: 9524, score: 754.4989770318184, avg score: 801.6800970285202, best_score: 810.4845875586952
episide: 9525, score: 631.6661711202375, avg score: 800.0506772371284, best_score: 810.4845875586952
episide: 9526, score: 613.9722046121066, avg score: 796.8645680935833, best_score: 810.4845875586952
episide: 9527, score: 694.0941974340406, avg score: 794.4441852500926, best_score: 810.4845875586952
episide: 9528, score: 717.1702546523989, avg score: 792.303728192264, best_score: 810.4845875586952
episide: 9529, score: 659.204917670854, avg score: 789.3089574276876, best_score: 810.4845875586952
episide: 9530, score: 637.7705958384887, avg score: 785.3529498978756, best_score: 810.4845875586952
episide: 9531, score: 591.411626408858, avg score: 781.1884179867358, best_score: 810.4845875586952
episide: 9532, score: 733.47201035846, avg score: 779.751699442675, best_score: 810.4845875586952
episide: 9533, score: 732.4489976540244, avg score: 777.9408245885171, best_score: 810.4845875586952
episide: 9534, score: 702.6672920755008, avg score: 775.2891013774498, best_score: 810.4845875586952
