step: 42, action: Close_NoOpen, current_price: 20253.07, current_worth: 998041.0942127667, realized_p: -1958.905787233222, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 43, action: Hold, current_price: 20099.67, current_worth: 998041.0942127667, realized_p: -1958.905787233222, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 44, action: Close_NoOpen, current_price: 19937.23, current_worth: 998041.0942127667, realized_p: -1958.905787233222, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 45, action: Close_NoOpen, current_price: 19256.75, current_worth: 998041.0942127667, realized_p: -1958.905787233222, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 46, action: Close_NoOpen, current_price: 19226.53, current_worth: 998041.0942127667, realized_p: -1958.905787233222, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 47, action: Close_NoOpen, current_price: 19290.68, current_worth: 998041.0942127667, realized_p: -1958.905787233222, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 48, action: Close_NoOpen, current_price: 20212.61, current_worth: 998041.0942127667, realized_p: -1958.905787233222, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 49, action: Close_NoOpen, current_price: 20157.22, current_worth: 998041.0942127667, realized_p: -1958.905787233222, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 50, action: Close_NoOpen, current_price: 20544.74, current_worth: 998041.0942127667, realized_p: -1958.905787233222, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 51, action: Close_NoOpen, current_price: 21615.25, current_worth: 998041.0942127667, realized_p: -1958.905787233222, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 52, action: Close_NoOpen, current_price: 21595.99, current_worth: 998041.0942127667, realized_p: -1958.905787233222, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 53, action: Long_Open, current_price: 21581.42, current_worth: 998041.0942127667, realized_p: -1958.905787233222, open_positions_held: 1, quantity_held:4.624538580931036, open_original_value:99804.10942127668, open_current_value:99804.10942127668
step: 54, action: Close, current_price: 20844.56, current_worth: 994537.0602420995, realized_p: -5462.93975790059, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 55, action: Hold, current_price: 19946.01, current_worth: 994537.0602420995, realized_p: -5462.93975790059, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 56, action: Long_Open, current_price: 19308.37, current_worth: 994537.0602420995, realized_p: -5462.93975790059, open_positions_held: 1, quantity_held:5.15080796691849, open_original_value:99453.70602420995, open_current_value:99453.70602420995
step: 57, action: Close, current_price: 20219.7, current_worth: 999126.9982747425, realized_p: -873.0017252574571, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 58, action: Close_NoOpen, current_price: 20576.51, current_worth: 999126.9982747425, realized_p: -873.0017252574571, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
step: 59, action: Close_NoOpen, current_price: 20825.45, current_worth: 999126.9982747425, realized_p: -873.0017252574571, open_positions_held: 0, quantity_held:0, open_original_value:0, open_current_value:0.0
