episide: 9575, score: 659.9807727511222, avg score: 646.7223332940979, best_score: 732.09831910608
episide: 9576, score: 614.3047489299587, avg score: 644.581545082177, best_score: 732.09831910608
episide: 9577, score: 673.0168499913896, avg score: 644.9276206201178, best_score: 732.09831910608
episide: 9578, score: 645.8738799989615, avg score: 643.8290469788063, best_score: 732.09831910608
episide: 9579, score: 683.4619315929552, avg score: 643.2924841436674, best_score: 732.09831910608
episide: 9580, score: 601.2130396266946, avg score: 641.0950056144168, best_score: 732.09831910608
episide: 9581, score: 672.2099910778027, avg score: 641.4479134656603, best_score: 732.09831910608
episide: 9582, score: 747.8680408655074, avg score: 641.5532601417493, best_score: 732.09831910608
episide: 9583, score: 660.5822058162408, avg score: 639.6415553675212, best_score: 732.09831910608
episide: 9584, score: 713.8571347417907, avg score: 639.3267557765827, best_score: 732.09831910608
episide: 9585, score: 656.568686819924, avg score: 640.4556509678469, best_score: 732.09831910608
episide: 9586, score: 654.582682456675, avg score: 639.0630548547153, best_score: 732.09831910608
episide: 9587, score: 661.6629313261903, avg score: 638.3402921421352, best_score: 732.09831910608
episide: 9588, score: 713.9221209104278, avg score: 638.6871713876591, best_score: 732.09831910608
episide: 9589, score: 653.7921911274248, avg score: 637.1566877537032, best_score: 732.09831910608
episide: 9590, score: 642.1894473332337, avg score: 636.2021220014262, best_score: 732.09831910608
episide: 9591, score: 721.9922839347141, avg score: 636.1494392409708, best_score: 732.09831910608
episide: 9592, score: 710.6823972726494, avg score: 636.6146595230052, best_score: 732.09831910608
episide: 9593, score: 737.2960817617122, avg score: 639.0889489863268, best_score: 732.09831910608
episide: 9594, score: 652.8544258144344, avg score: 638.1895590465816, best_score: 732.09831910608
episide: 9595, score: 572.5453897138193, avg score: 636.2369914749901, best_score: 732.09831910608
episide: 9596, score: 678.1586441156772, avg score: 635.820345534126, best_score: 732.09831910608
episide: 9597, score: 579.3889882539497, avg score: 633.0802512443846, best_score: 732.09831910608
episide: 9598, score: 636.944403951341, avg score: 631.03527790121, best_score: 732.09831910608
episide: 9599, score: 699.7744310236021, avg score: 637.557418310219, best_score: 732.09831910608
episide: 9600, score: 649.1343160177903, avg score: 638.3753939623698, best_score: 732.09831910608
episide: 9601, score: 779.6883885284682, avg score: 640.352484595762, best_score: 732.09831910608
episide: 9602, score: 761.8180776571298, avg score: 642.4406793206995, best_score: 732.09831910608
episide: 9603, score: 568.6051337237286, avg score: 640.0556398250613, best_score: 732.09831910608
episide: 9604, score: 702.0436108086027, avg score: 641.5098801591631, best_score: 732.09831910608
episide: 9605, score: 659.3618438993914, avg score: 642.177775705644, best_score: 732.09831910608
episide: 9606, score: 735.1934374215567, avg score: 643.8486140159338, best_score: 732.09831910608
episide: 9607, score: 721.3023759978802, avg score: 644.6783501044173, best_score: 732.09831910608
episide: 9608, score: 737.8872256799945, avg score: 646.7548811469898, best_score: 732.09831910608
episide: 9609, score: 709.1761077708401, avg score: 650.7082301306193, best_score: 732.09831910608
episide: 9610, score: 717.215110992902, avg score: 656.7256811730434, best_score: 732.09831910608
episide: 9611, score: 528.9123815976347, avg score: 654.7696948482387, best_score: 732.09831910608
episide: 9612, score: 593.0837360896782, avg score: 654.1903301285313, best_score: 732.09831910608
episide: 9613, score: 646.8673899061407, avg score: 654.1812189676767, best_score: 732.09831910608
episide: 9614, score: 695.8432978930265, avg score: 654.9424366612379, best_score: 732.09831910608
episide: 9615, score: 733.9283758354285, avg score: 658.3793253217742, best_score: 732.09831910608
episide: 9616, score: 708.5636582484229, avg score: 659.812078276566, best_score: 732.09831910608
episide: 9617, score: 725.9687319973145, avg score: 662.2395913523402, best_score: 732.09831910608
episide: 9618, score: 722.4969630760409, avg score: 665.3773492374696, best_score: 732.09831910608
episide: 9619, score: 655.5799847164609, avg score: 667.0137642716105, best_score: 732.09831910608
episide: 9620, score: 772.4398758891886, avg score: 670.680829792335, best_score: 732.09831910608
episide: 9621, score: 776.4893046132958, avg score: 674.9801858456818, best_score: 732.09831910608
episide: 9622, score: 693.7394354733163, avg score: 678.2690139636633, best_score: 732.09831910608
episide: 9623, score: 680.4351960999594, avg score: 680.6206382565161, best_score: 732.09831910608
episide: 9624, score: 589.7683402998775, avg score: 678.2053200288454, best_score: 732.09831910608
episide: 9625, score: 681.6786944333048, avg score: 678.6392784624892, best_score: 732.09831910608
episide: 9626, score: 690.9984566221851, avg score: 680.1731526163335, best_score: 732.09831910608
episide: 9627, score: 655.8109517855207, avg score: 679.829034652216, best_score: 732.09831910608
episide: 9628, score: 715.2865709432892, avg score: 681.2172884711026, best_score: 732.09831910608
episide: 9629, score: 757.3265616174835, avg score: 682.6945810715932, best_score: 732.09831910608
episide: 9630, score: 734.4607787035575, avg score: 685.3595358531305, best_score: 732.09831910608
episide: 9631, score: 643.0257296185731, avg score: 684.775850623946, best_score: 732.09831910608
episide: 9632, score: 661.1130784768516, avg score: 683.0407513761728, best_score: 732.09831910608
episide: 9633, score: 616.9370678978706, avg score: 682.1678486178055, best_score: 732.09831910608
episide: 9634, score: 648.3842270617254, avg score: 680.8583904642041, best_score: 732.09831910608
episide: 9635, score: 664.0274738524721, avg score: 681.0075662048552, best_score: 732.09831910608
episide: 9636, score: 579.9601692348859, avg score: 679.5151159404194, best_score: 732.09831910608
episide: 9637, score: 710.5933178810172, avg score: 680.4937236715158, best_score: 732.09831910608
episide: 9638, score: 710.8075496659201, avg score: 680.4314322466257, best_score: 732.09831910608
episide: 9639, score: 692.8071588814604, avg score: 681.2117316017066, best_score: 732.09831910608
episide: 9640, score: 610.6486426537247, avg score: 680.5809155081162, best_score: 732.09831910608
episide: 9641, score: 666.2370194182387, avg score: 679.4658102177866, best_score: 732.09831910608
episide: 9642, score: 720.4597147176631, avg score: 679.661356566687, best_score: 732.09831910608
episide: 9643, score: 732.1250767190805, avg score: 679.5579364658344, best_score: 732.09831910608
episide: 9644, score: 645.7633568094852, avg score: 679.4161150857353, best_score: 732.09831910608
episide: 9645, score: 536.6896485004559, avg score: 678.699000261468, best_score: 732.09831910608
episide: 9646, score: 567.1048420314265, avg score: 676.4779242197831, best_score: 732.09831910608
episide: 9647, score: 666.9729266129174, avg score: 678.2296029869624, best_score: 732.09831910608
episide: 9648, score: 659.7816894850034, avg score: 678.6863486976357, best_score: 732.09831910608
episide: 9649, score: 645.4730590454461, avg score: 677.6003212580727, best_score: 732.09831910608
episide: 9650, score: 642.2946487137929, avg score: 677.4635279119927, best_score: 732.09831910608
episide: 9651, score: 706.6197749376134, avg score: 676.0021556401756, best_score: 732.09831910608
episide: 9652, score: 720.2767731707092, avg score: 675.1713295504471, best_score: 732.09831910608
episide: 9653, score: 728.8272676788873, avg score: 678.3757722295502, best_score: 732.09831910608
episide: 9654, score: 749.5174131068728, avg score: 679.3252482755156, best_score: 732.09831910608
episide: 9655, score: 718.4043358619871, avg score: 680.5060981147676, best_score: 732.09831910608
episide: 9656, score: 731.4077516387999, avg score: 680.4303843991125, best_score: 732.09831910608
episide: 9657, score: 684.1171674655668, avg score: 679.6866802284661, best_score: 732.09831910608
episide: 9658, score: 741.7311828145984, avg score: 679.7635593711582, best_score: 732.09831910608
episide: 9659, score: 705.9484505426024, avg score: 679.6990062265935, best_score: 732.09831910608
episide: 9660, score: 789.2111160694753, avg score: 681.138926328125, best_score: 732.09831910608
episide: 9661, score: 730.2367351077451, avg score: 685.1654133983274, best_score: 732.09831910608
episide: 9662, score: 733.0885267528136, avg score: 687.9655092115901, best_score: 732.09831910608
episide: 9663, score: 669.408336660474, avg score: 688.4163281466767, best_score: 732.09831910608
episide: 9664, score: 601.2604750605287, avg score: 686.5246716900267, best_score: 732.09831910608
episide: 9665, score: 712.8897370442921, avg score: 686.103898914204, best_score: 732.09831910608
episide: 9666, score: 735.7757535086558, avg score: 686.6481408194087, best_score: 732.09831910608
episide: 9667, score: 742.6391600116497, avg score: 686.9815493796953, best_score: 732.09831910608
episide: 9668, score: 735.4012672956887, avg score: 687.2396354640882, best_score: 732.09831910608
episide: 9669, score: 762.7469161497211, avg score: 689.3829740927534, best_score: 732.09831910608
episide: 9670, score: 667.4186885783331, avg score: 687.2825503465363, best_score: 732.09831910608
episide: 9671, score: 698.5825399888682, avg score: 685.7244150540479, best_score: 732.09831910608
episide: 9672, score: 743.7809644169197, avg score: 686.7252456329198, best_score: 732.09831910608
episide: 9673, score: 730.7654707235052, avg score: 687.7318511253907, best_score: 732.09831910608
episide: 9674, score: 672.9384160061269, avg score: 689.3952526395155, best_score: 732.09831910608
episide: 9675, score: 721.3170180934092, avg score: 690.1880191127177, best_score: 732.09831910608
episide: 9676, score: 745.9612133222269, avg score: 691.2872742467185, best_score: 732.09831910608
episide: 9677, score: 644.1666719785969, avg score: 691.0543886505801, best_score: 732.09831910608
episide: 9678, score: 444.0215014533905, avg score: 685.6290872607821, best_score: 732.09831910608
episide: 9679, score: 514.4860422591792, avg score: 680.7722768736161, best_score: 732.09831910608
episide: 9680, score: 427.38165052935295, avg score: 674.6306943101321, best_score: 732.09831910608
episide: 9681, score: 465.24663536277046, avg score: 671.075112425016, best_score: 732.09831910608
episide: 9682, score: 556.8537362064965, avg score: 668.9899255796088, best_score: 732.09831910608
episide: 9683, score: 570.8186716810487, avg score: 668.0675576552726, best_score: 732.09831910608
episide: 9684, score: 602.5261243482196, avg score: 667.1503956010024, best_score: 732.09831910608
episide: 9685, score: 657.7742376721044, avg score: 667.025330877395, best_score: 732.09831910608
episide: 9686, score: 647.5460041127199, avg score: 668.3770475749517, best_score: 732.09831910608
episide: 9687, score: 766.6682999313407, avg score: 669.4985472159581, best_score: 732.09831910608
episide: 9688, score: 665.9804257412067, avg score: 668.6020047374639, best_score: 732.09831910608
episide: 9689, score: 701.82285523005, avg score: 668.7823186644356, best_score: 732.09831910608
episide: 9690, score: 664.9904142947258, avg score: 669.8691540972557, best_score: 732.09831910608
episide: 9691, score: 447.5025289871356, avg score: 665.4944642886335, best_score: 732.09831910608
episide: 9692, score: 647.6293349844207, avg score: 664.0378566939688, best_score: 732.09831910608
episide: 9693, score: 654.1212485765844, avg score: 662.4777801311188, best_score: 732.09831910608
episide: 9694, score: 677.5579323419167, avg score: 663.1136716417674, best_score: 732.09831910608
episide: 9695, score: 527.8084029292168, avg score: 662.9360467303427, best_score: 732.09831910608
episide: 9696, score: 608.4596638284532, avg score: 663.7631431662833, best_score: 732.09831910608
episide: 9697, score: 668.409844535882, avg score: 663.7918815247425, best_score: 732.09831910608
episide: 9698, score: 579.4514390733657, avg score: 662.1852765165098, best_score: 732.09831910608
episide: 9699, score: 701.873862604678, avg score: 663.3132925876945, best_score: 732.09831910608
episide: 9700, score: 637.6777941922321, avg score: 663.2209554972632, best_score: 732.09831910608
episide: 9701, score: 660.6355030918527, avg score: 662.3012700603481, best_score: 732.09831910608
episide: 9702, score: 713.5094887461913, avg score: 662.1659243718575, best_score: 732.09831910608
episide: 9703, score: 705.0844523098341, avg score: 661.6910680644766, best_score: 732.09831910608
episide: 9704, score: 756.568850609816, avg score: 661.8320968145355, best_score: 732.09831910608
episide: 9705, score: 765.755652843021, avg score: 662.7791231541561, best_score: 732.09831910608
episide: 9706, score: 718.3333124776037, avg score: 662.5176343709322, best_score: 732.09831910608
episide: 9707, score: 753.7069357236744, avg score: 663.9094297360944, best_score: 732.09831910608
episide: 9708, score: 653.4118003667393, avg score: 662.1430420871371, best_score: 732.09831910608
episide: 9709, score: 714.0348721512759, avg score: 662.3047705193105, best_score: 732.09831910608
episide: 9710, score: 614.4315123671518, avg score: 658.8091784452641, best_score: 732.09831910608
