episide: 9553, score: 1276.911525620157, avg score: 1253.0449344394403, best_score: 1356.5776391358204
episide: 9554, score: 1253.7708404826485, avg score: 1260.5087537198954, best_score: 1356.5776391358204
episide: 9555, score: 1253.3170605372277, avg score: 1262.7758483759194, best_score: 1356.5776391358204
episide: 9556, score: 1393.9847185282465, avg score: 1265.5734158161608, best_score: 1356.5776391358204
episide: 9557, score: 1332.2688722842893, avg score: 1266.5240424325168, best_score: 1356.5776391358204
episide: 9558, score: 1162.2139100518998, avg score: 1264.1758835948838, best_score: 1356.5776391358204
episide: 9559, score: 1256.381760376711, avg score: 1262.6206233001735, best_score: 1356.5776391358204
episide: 9560, score: 1294.8522310521744, avg score: 1261.4907663807417, best_score: 1356.5776391358204
episide: 9561, score: 1265.7804052166248, avg score: 1258.4675921698588, best_score: 1356.5776391358204
episide: 9562, score: 1218.9488559084666, avg score: 1259.4349599171298, best_score: 1356.5776391358204
episide: 9563, score: 1192.4691267581698, avg score: 1256.4003405139167, best_score: 1356.5776391358204
episide: 9564, score: 1243.7068618481194, avg score: 1252.79720289457, best_score: 1356.5776391358204
episide: 9565, score: 1392.9479814775266, avg score: 1253.4470367568974, best_score: 1356.5776391358204
episide: 9566, score: 958.7955476960719, avg score: 1246.1839998660716, best_score: 1356.5776391358204
episide: 9567, score: 1350.348451277196, avg score: 1247.4979040414664, best_score: 1356.5776391358204
episide: 9568, score: 1265.4896474723755, avg score: 1247.2645395168538, best_score: 1356.5776391358204
episide: 9569, score: 1282.6809446338673, avg score: 1248.120806809064, best_score: 1356.5776391358204
episide: 9570, score: 1323.1208688944732, avg score: 1249.635249200648, best_score: 1356.5776391358204
episide: 9571, score: 1254.0110696398087, avg score: 1247.3719189288795, best_score: 1356.5776391358204
episide: 9572, score: 1243.4641530661818, avg score: 1245.004993171965, best_score: 1356.5776391358204
episide: 9573, score: 1304.0628540629084, avg score: 1245.6927819759046, best_score: 1356.5776391358204
episide: 9574, score: 1383.8356779888484, avg score: 1246.702736500535, best_score: 1356.5776391358204
episide: 9575, score: 1410.3307647277925, avg score: 1249.2433132587653, best_score: 1356.5776391358204
episide: 9576, score: 1342.115320783554, avg score: 1248.5807919516199, best_score: 1356.5776391358204
episide: 9577, score: 1372.5331562436513, avg score: 1249.7822300873618, best_score: 1356.5776391358204
episide: 9578, score: 1363.6259893593926, avg score: 1251.5438952175218, best_score: 1356.5776391358204
episide: 9579, score: 1335.4165760311573, avg score: 1253.511488562889, best_score: 1356.5776391358204
episide: 9580, score: 811.5439221924463, avg score: 1244.5179874509083, best_score: 1356.5776391358204
episide: 9581, score: 864.3231321925174, avg score: 1235.3546259779964, best_score: 1356.5776391358204
episide: 9582, score: 1107.9979326971948, avg score: 1229.630617096186, best_score: 1356.5776391358204
episide: 9583, score: 1027.4124434063608, avg score: 1224.36544761965, best_score: 1356.5776391358204
episide: 9584, score: 1134.4279057978624, avg score: 1221.6196525665434, best_score: 1356.5776391358204
episide: 9585, score: 1227.2478222866166, avg score: 1223.979289228412, best_score: 1356.5776391358204
episide: 9586, score: 1220.1068339186663, avg score: 1226.915062392736, best_score: 1356.5776391358204
episide: 9587, score: 1332.8972496036056, avg score: 1227.4898634739366, best_score: 1356.5776391358204
episide: 9588, score: 1296.5393829164357, avg score: 1225.3872419883473, best_score: 1356.5776391358204
episide: 9589, score: 1230.5151269601226, avg score: 1222.3099126028872, best_score: 1356.5776391358204
episide: 9590, score: 1264.3952346505173, avg score: 1219.968355572195, best_score: 1356.5776391358204
episide: 9591, score: 1289.4836228180116, avg score: 1222.6412330653482, best_score: 1356.5776391358204
episide: 9592, score: 1306.6787349207198, avg score: 1228.8831435920988, best_score: 1356.5776391358204
episide: 9593, score: 1394.9863980580812, avg score: 1240.1238267433955, best_score: 1356.5776391358204
episide: 9594, score: 1283.936687278843, avg score: 1246.2239763356279, best_score: 1356.5776391358204
episide: 9595, score: 1296.6728614089607, avg score: 1249.68058947628, best_score: 1356.5776391358204
episide: 9596, score: 1296.7640623835043, avg score: 1250.6731836678646, best_score: 1356.5776391358204
episide: 9597, score: 1340.3737414068669, avg score: 1251.7952445529386, best_score: 1356.5776391358204
episide: 9598, score: 1370.7003224513446, avg score: 1253.7361898987526, best_score: 1356.5776391358204
episide: 9599, score: 1322.4099576237586, avg score: 1254.9425310827748, best_score: 1356.5776391358204
episide: 9600, score: 1150.0434156787564, avg score: 1253.7300831844148, best_score: 1356.5776391358204
episide: 9601, score: 865.6067281491197, avg score: 1246.2361603653749, best_score: 1356.5776391358204
episide: 9602, score: 1026.636610244878, avg score: 1243.7817060212947, best_score: 1356.5776391358204
episide: 9603, score: 1155.6294248357092, avg score: 1241.3560640056057, best_score: 1356.5776391358204
episide: 9604, score: 1259.7249658903058, avg score: 1241.4751465137588, best_score: 1356.5776391358204
episide: 9605, score: 1272.8002908058263, avg score: 1241.864811119131, best_score: 1356.5776391358204
episide: 9606, score: 1268.8524920284274, avg score: 1239.3621665891344, best_score: 1356.5776391358204
episide: 9607, score: 1191.2149555553428, avg score: 1236.5410882545555, best_score: 1356.5776391358204
episide: 9608, score: 1227.732326057219, avg score: 1237.8514565746618, best_score: 1356.5776391358204
