episide: 886, score: 487.57714059352963, avg score: 450.81682353589974, best_score: 470.696105619096
episide: 887, score: 488.52794123514786, avg score: 451.28066489615514, best_score: 470.696105619096
episide: 888, score: 471.18605079697164, avg score: 451.86749859155884, best_score: 470.696105619096
episide: 889, score: 489.76673913360986, avg score: 452.41868675845996, best_score: 470.696105619096
episide: 890, score: 494.5973522398582, avg score: 454.09771696977157, best_score: 470.696105619096
episide: 891, score: 483.58314145354933, avg score: 455.1511727036725, best_score: 470.696105619096
episide: 892, score: 490.0488280617777, avg score: 457.3320532392913, best_score: 470.696105619096
episide: 893, score: 489.6766264295888, avg score: 458.7376441373714, best_score: 470.696105619096
episide: 894, score: 498.9034871408325, avg score: 459.68934177497016, best_score: 470.696105619096
episide: 895, score: 498.45498243780025, avg score: 460.5662797728941, best_score: 470.696105619096
episide: 896, score: 480.55166903185955, avg score: 460.9358394317111, best_score: 470.696105619096
episide: 897, score: 492.01146123049506, avg score: 461.2844057563746, best_score: 470.696105619096
episide: 898, score: 497.678924585842, avg score: 461.78067529336954, best_score: 470.696105619096
episide: 899, score: 497.61848699964827, avg score: 462.6017294807088, best_score: 470.696105619096
episide: 900, score: 497.61848699964827, avg score: 463.5834388888799, best_score: 470.696105619096
episide: 901, score: 492.0618851274999, avg score: 463.97666981738473, best_score: 470.696105619096
episide: 902, score: 479.1295690143172, avg score: 464.39925961955845, best_score: 470.696105619096
episide: 903, score: 499.07802594602873, avg score: 465.4867039510241, best_score: 470.696105619096
episide: 904, score: 487.501896614032, avg score: 467.8515706619099, best_score: 470.696105619096
episide: 905, score: 496.6233881383927, avg score: 470.1659451771863, best_score: 470.696105619096
saving models ...
episide: 906, score: 488.06014514020194, avg score: 470.8987207997038, best_score: 470.8987207997038
saving models ...
episide: 907, score: 504.4381764655118, avg score: 472.28628593393574, best_score: 472.28628593393574
saving models ...
episide: 908, score: 493.35543355184535, avg score: 474.00350933097974, best_score: 474.00350933097974
saving models ...
episide: 909, score: 497.1826616531003, avg score: 476.0719129114435, best_score: 476.0719129114435
saving models ...
episide: 910, score: 506.0655132676061, avg score: 477.8185447252219, best_score: 477.8185447252219
saving models ...
episide: 911, score: 506.3809853389539, avg score: 479.70953069857615, best_score: 479.70953069857615
saving models ...
episide: 912, score: 503.42504466834714, avg score: 482.10229567672553, best_score: 482.10229567672553
saving models ...
episide: 913, score: 483.62058756048555, avg score: 482.917314414762, best_score: 482.917314414762
episide: 914, score: 423.3024877746676, avg score: 482.6764468907825, best_score: 482.917314414762
episide: 915, score: 237.66658631861603, avg score: 478.1910309354739, best_score: 482.917314414762
episide: 916, score: 298.2201990005713, avg score: 475.15789438363305, best_score: 482.917314414762
episide: 917, score: 309.2491288041204, avg score: 471.9845154469185, best_score: 482.917314414762
episide: 918, score: 299.753139916659, avg score: 468.35473419251025, best_score: 482.917314414762
episide: 919, score: 320.34938561745463, avg score: 465.2676593635161, best_score: 482.917314414762
episide: 920, score: 292.26115245216687, avg score: 461.3760250014635, best_score: 482.917314414762
